,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.999999999999997,-2.811515483916035e-16,-1.3254516666860347e-15,-2.2352071483641885e-15,-1.755260533292964e-15,-1.4910340660906986e-15,-6.801535976461644e-16,-6.049956184087551e-16,-1.858956451756386e-15,-4.638456927985883e-15,-2.935668771613784e-15,-4.57140899199402e-15,-2.426743026027759e-15,-5.024553085471046e-15,-1.3411971100861124e-15,-2.503543157377952e-15,-5.615033236932554e-15,-1.807062695891976e-15,-2.001152322498447e-15,-3.244687077144607e-15,-3.6281217385443205e-15,-3.845519541799231e-15,-7.088485508303541e-16,-1.707721426686289e-15,-2.6583568014520956e-15
1,-2.989315210708717e-16,0.9999999999999982,-2.1694860360762394e-15,-3.4026616815161597e-16,-5.528774175719948e-16,-1.302733345907339e-15,-2.305391039242582e-15,-8.499212291336628e-16,-5.058494588612027e-16,-3.869382748712396e-16,-2.022880510538284e-15,-2.3196048359652482e-15,-9.003653437583179e-16,-6.94064532695388e-16,-2.847852420206026e-16,-1.9196236105192755e-15,-2.206415853471527e-15,-1.1847449255491656e-15,-2.124845072820107e-15,-1.4793719921972555e-15,-1.5418040014253843e-15,-9.642085229524506e-16,-7.222529805825867e-16,-3.810414338306126e-16,-6.238971630818736e-16
2,5.2759482528676e-16,7.096907643502381e-16,1.000000000000001,3.0198510265792847e-16,9.14954088964524e-16,2.51900808641341e-15,1.169200396907781e-15,4.2666225572992905e-16,-1.4984073746362991e-15,5.033935714360465e-16,2.0967556942388626e-15,5.652782519674331e-16,1.433175422778401e-15,2.0102966313975718e-15,-7.499923200744903e-16,8.504066606040011e-16,1.0995136350500066e-16,1.8647977709566038e-15,7.52608883180885e-16,1.7812952099504012e-15,2.338345017597164e-15,2.0446107151345595e-16,7.039416658280787e-16,-2.0482704044890066e-16,2.2974742681436733e-15
3,2.559267989470501e-15,-4.117828521118552e-16,1.874148870331449e-15,1.0000000000000018,1.3459744539634948e-15,2.2509676938284997e-15,2.9452819213863876e-15,6.402752524766039e-16,1.9508147626436943e-15,3.5426338020092672e-15,3.0002777814372146e-15,3.371676207822209e-15,2.5644865617114474e-15,3.4030931883618117e-15,1.8618809068269938e-17,3.1102160888652983e-15,4.373575623992119e-15,1.493271959973257e-15,2.6627617290856786e-15,3.0317097414662745e-15,3.753235441396413e-15,3.996973241077664e-15,1.604750535055405e-15,1.3216135602279013e-15,2.5501616095980147e-15
4,-1.3056796762293084e-15,-1.0074909836769867e-15,-1.7987452748183785e-15,-8.453183833164274e-16,0.9999999999999992,-2.233158847252615e-15,-2.782506056952448e-15,-8.388767341648866e-16,4.595076035313275e-16,-5.606421592435065e-16,-1.873681699197344e-15,5.898561769977913e-16,-1.6505627450057958e-15,-2.0972369333406475e-15,-8.303209354223677e-17,-2.1624417576515747e-15,-1.2315076203012658e-15,-2.2282468737533004e-15,-2.2011863778897084e-15,-1.0517294922332024e-15,-3.175374634061423e-15,-1.8710839508084397e-15,-6.029653657708318e-16,3.653734345140676e-17,-2.4889758827106807e-15
5,-1.6782504165037658e-15,-1.0908366100808486e-15,-1.4881194540631958e-15,-3.209202468837192e-15,-1.0105187122070227e-15,0.9999999999999991,1.6677550623554342e-16,-1.2178969645536987e-15,1.3715719720311186e-15,-7.367024119496955e-16,-6.361416132615172e-16,-6.245345708747439e-16,-1.3592796730252404e-17,1.3021621849330968e-16,-1.582341301324858e-15,1.3086870147313125e-15,1.1400563593807936e-15,-1.2650963493688084e-15,1.430884667910907e-16,-5.215301821020291e-16,-6.608737284369494e-16,1.2446573909755049e-15,-2.784310574914609e-15,-1.4345422576033593e-15,-2.9185756682147247e-15
6,-1.6659182830288397e-15,-7.876176157258336e-16,-1.132943774070678e-15,-1.2316375260326796e-15,-1.0831127839156971e-15,-2.0281306510461502e-15,0.9999999999999981,-8.197434248375766e-16,-5.322713318960973e-16,-2.5909315132097995e-15,-2.214131577705807e-15,-1.5993071665987133e-15,-1.5068812122229818e-15,-2.7018966269276607e-15,-3.4186247623625587e-16,-1.0560142923565466e-15,-1.1805477078051123e-15,-1.4934193062847862e-15,-1.8664944155780525e-15,-2.600692206577099e-15,-2.9499080470294123e-15,-1.5554455913567627e-15,-1.0058587047523324e-15,-7.369541637083847e-16,-2.9131819260484567e-15
7,-3.5591047325935787e-16,-4.634101704915816e-16,-4.2739372269772986e-18,-4.304937029309761e-16,3.2752054409018916e-16,-1.559790997167465e-15,-8.077004495161338e-16,1.0,-2.8811771787335005e-17,-1.7006181155113185e-15,-2.1673593122424124e-15,9.544260487215662e-16,-7.711708444361963e-16,-1.818534273733173e-15,8.78612915915104e-16,-1.683524201006471e-15,-1.0382838929392165e-15,-6.887500808107708e-16,-1.240731520872393e-15,-1.4829779788562322e-15,-1.5612614840922003e-15,-1.083101897847376e-15,4.2806222456229224e-16,3.8660480962075476e-16,-9.728272517403551e-16
8,-3.87116523912911e-16,-4.29252925761952e-17,-6.865194940619181e-16,-5.852034624130548e-16,2.548199019318784e-16,-2.8614397512887406e-16,9.677540483911076e-17,-2.518852309664697e-16,0.999999999999999,2.1367467561435666e-16,4.0466407759417886e-16,1.1476039936897884e-17,2.4050984361059257e-16,1.0359296073822985e-15,-7.927791041663091e-16,6.274995129035504e-16,6.834606047251501e-17,7.2607028457133e-16,-9.348168184213954e-17,3.038077039102299e-16,1.0356511372170196e-16,1.669795289579165e-16,-7.387385248083948e-16,-6.792114951004462e-16,-4.926752418140708e-16
9,1.847150911986663e-15,5.680461178146321e-16,1.4203728756966274e-15,1.1622561275378365e-15,9.98526889662389e-16,1.4287893816107496e-15,2.156624170637501e-15,-3.1773871948286953e-16,7.57102698903952e-17,1.0000000000000007,2.23196961254308e-15,1.171807970230229e-15,1.4101575153937868e-15,3.3618060650808646e-15,-5.492158092628623e-17,9.717320424603056e-16,1.539039161121596e-15,1.3317193898215638e-15,1.967570282954851e-15,1.729854778498905e-15,3.2387683049045777e-15,1.4997024792938918e-15,1.1122657327208653e-15,3.90691139472064e-16,2.2511865724331074e-15
