,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.000000000000004,2.891294814411279e-15,3.0303448074823727e-15,4.200626405751295e-15,3.970733651789714e-15,5.303702848661044e-15,-6.665166231960188e-16,6.638732983849029e-15,6.99192981787139e-15,3.6194609245233865e-15,7.679932381756729e-16,1.7726114213019291e-15,8.774515388008288e-15,1.9337287694334285e-15,4.78442302955064e-15,6.610934614835402e-15,4.2945432766358805e-15,3.5151064024936224e-15,3.298171373199837e-15,5.654776196150305e-15,6.891714993297209e-15,5.86678621065788e-15,3.5025511098255023e-15,4.581306679081418e-15,1.2180918500302718e-15,2.052572355085099e-16,7.592664682647613e-15,1.7124738076766965e-15,2.7564136575584494e-15,2.505269132251359e-15,-3.977114814525649e-16,5.324994907453544e-15,5.349949471438328e-15,4.536895480681629e-15,6.8401572447839105e-15,5.724730256669509e-15,3.175887249851686e-15,4.205604308809345e-15,3.897092827981168e-16,3.748838086089573e-15,-2.3033991009046733e-15,3.648702833786398e-15,3.4126273273165106e-15,2.2855179646400026e-15,3.2451254580210836e-15,6.532981546974068e-15,4.951809370157883e-15,8.238259859622233e-15,4.6074255521944e-15,4.503342143635791e-15
1,2.772544135353931e-15,1.0000000000000027,3.5563927063955104e-15,3.745430158512784e-15,3.2467412799979953e-15,1.504283413171866e-15,3.132697515413959e-15,2.60162895936678e-15,6.558625081371838e-15,4.8826144927774355e-15,2.9083725305123016e-15,6.086150512940403e-15,6.181321701320356e-15,3.719515949591899e-15,3.4585393293401653e-15,4.129704873137508e-15,4.832773015761238e-15,3.3809621270450127e-15,2.730753780066993e-15,1.6532253158542684e-15,2.2913998484397595e-15,6.975884953666224e-15,3.571764114586279e-15,2.245638430888086e-15,2.760266527645534e-15,5.231839251663981e-15,1.829461750135722e-15,2.948940816764784e-15,4.425535056723773e-15,4.441903807995807e-15,3.176586660158985e-15,1.7989966711644952e-15,4.791465468905266e-15,4.531241246180743e-15,5.873972505836836e-15,2.7707235285862046e-15,2.0240532072628665e-15,6.135064214429103e-15,1.7832042846732995e-15,3.3029261299635378e-15,4.254103823547132e-15,1.824238145499864e-15,6.0253014354597024e-15,5.017880560089409e-15,8.268956897681023e-15,1.7394113296710493e-15,3.045250559405358e-15,5.5407545508574444e-15,3.7192471324942744e-15,2.831068712794149e-15
2,-5.438729837308317e-15,-5.178269349780182e-15,0.9999999999999921,-6.803370835910751e-15,-4.326014457026727e-15,-2.960883003885026e-15,-5.322292717801329e-15,-6.0280676550132866e-15,-2.9445839146761003e-15,-3.207252334429005e-15,-4.1988313098355006e-15,-5.258153699468925e-15,-6.235332161509775e-15,-5.972047695638306e-15,-4.931838392804683e-15,-2.3859018963848947e-15,-3.18593568660209e-15,-6.6322515055728244e-15,-5.603369000023767e-15,-3.239822104091649e-15,-4.08935121532458e-15,-8.40753607171475e-15,-2.427718409763202e-15,-8.174417517122445e-15,-4.65523529394751e-15,-5.7743843872343165e-15,-3.867304465416417e-15,-5.122373688539246e-15,-2.6620895575537805e-15,-4.0514467688105624e-15,-3.963584396252592e-15,-4.146501078871113e-15,-4.8575707068531215e-15,-2.9491580473956518e-15,-1.7382569713138336e-15,-3.4013590725078427e-15,-2.4848168864107395e-15,-6.788615122597722e-15,-3.790769191648056e-15,-5.711584416479339e-15,-2.356206626737359e-15,-3.913160721979825e-15,-8.659810454219982e-15,-6.185180563112155e-15,-7.844486523864568e-15,-4.636047795766441e-15,-1.819229859787785e-15,-3.767932524548755e-15,-4.6074255521944e-15,-4.440892098500626e-15
3,-7.139450129342006e-15,-2.3940038045718063e-16,-6.3344582067813184e-15,0.9999999999999978,-2.5986065762312995e-15,-2.8750809685560315e-15,1.187871893932828e-16,-8.409158547640376e-15,-5.5128189015657474e-15,1.6806058099005123e-15,-1.4838847009433703e-15,-1.9261370747114918e-15,-1.3455809110430606e-15,1.1140125133546985e-15,-3.843377440724391e-15,-2.881856270559936e-15,5.636726541698324e-16,-2.884405359908563e-15,1.8498095976191345e-16,-1.8659929855333457e-15,-5.697334280513782e-15,-2.8911223861262755e-15,-1.131564984407289e-15,-4.224866820210303e-15,-1.3189406291621358e-15,2.276915798486867e-15,4.090527043752898e-16,-1.1671456285350591e-15,3.3320713355931093e-15,-5.8555719531624766e-15,1.777244086780691e-15,-3.5298403513003344e-15,-6.210685991933697e-15,1.288073341482284e-15,-3.781748658557359e-15,-5.3739357675461865e-15,-2.865460977407173e-15,-5.167678382219054e-15,-1.998035533823634e-15,-7.233754497025523e-15,7.663403649362279e-15,-2.196747366844206e-15,-3.8289220633416514e-15,-2.2794065699874673e-15,-7.197993119020396e-15,-4.57849448739399e-15,-3.0778063896049527e-15,-1.9698672130971597e-15,-4.052314039881821e-15,-6.439293542825908e-15
4,4.08084097251105e-15,7.862094799536893e-16,1.925104597921034e-15,1.839528973262394e-15,0.9999999999999997,3.006474916034963e-15,8.048816898303419e-16,3.855760331546431e-15,3.378183841583962e-16,-2.0063537063189566e-15,5.830273365004501e-16,-1.7694337508953656e-15,-1.6037992540032203e-16,-1.5538465820000926e-17,6.454461871802985e-16,4.1129662431651584e-16,-5.93387864510627e-16,2.226857522694397e-15,1.7942048645832087e-15,-1.8949668011714052e-16,3.624769818305694e-15,6.495880240900168e-16,-7.511945084294695e-16,2.228915755789172e-15,1.0333821132954618e-15,-1.918845654440259e-15,-2.4275684601713497e-16,1.44210096761066e-15,-1.8391262092202424e-15,1.1958712579451227e-16,-1.0600203464539325e-15,1.9084021585082143e-15,6.84750767684031e-16,-1.8071194734187725e-16,-1.8469862010124647e-15,3.8236351591635156e-15,1.4255409941310481e-15,1.572215427730363e-15,2.2010781861458727e-15,2.9751198921304188e-15,-2.705165906888357e-15,1.8818360845643134e-15,8.681562797985407e-16,-3.470907093613455e-16,-4.635013600653896e-16,3.673605808900226e-15,-9.72659091053888e-16,-1.632716100652541e-16,1.3322676295501878e-15,1.27675647831893e-15
5,6.520325090122113e-16,-1.1503225324770442e-15,8.233214268940651e-16,2.2795320738164607e-16,-3.139530832486856e-15,0.9999999999999987,-4.517879320548434e-15,-3.078938731583029e-15,-1.8395210514790662e-15,-5.716951640048236e-15,1.3276269158944813e-15,-8.14580595948462e-16,-3.137888727528516e-15,6.730868380173139e-16,-2.4312116491885055e-16,-1.5528413349162772e-15,-1.5176396252502338e-15,6.97116940977468e-16,-1.4900842454293186e-15,-2.3960384258216414e-16,-4.767355826644739e-15,2.7791863577381914e-15,-1.2262149116591865e-15,6.932533836855879e-16,-1.056122044605585e-16,-5.740660722774972e-15,-1.7629166204554e-16,-1.1685928356380985e-15,-3.462042831163235e-15,-1.3610167616549714e-15,-3.847190812639106e-15,1.6236278404811745e-15,6.711750884142672e-16,-3.964724168242619e-15,-1.79588397696367e-15,-7.379638426991624e-16,-1.4536527097115374e-15,-8.09502063859195e-16,1.4506507835909211e-15,5.081506357958305e-16,-3.727061817348465e-15,-3.9635796401798166e-15,3.7759857775349896e-15,-1.8154472025483348e-16,4.413536525273471e-15,-3.64205324245457e-15,1.133805605296695e-15,1.6590542665984553e-15,-1.573394192710964e-15,9.992007221626409e-16
6,-1.2036643746029516e-15,-2.7753293963952913e-16,5.4158982944277514e-15,4.432735674022662e-15,3.901290969659047e-15,1.3807762685878177e-15,1.0000000000000047,3.804496763281615e-15,3.044338053387014e-16,3.2900127896757382e-15,2.177732541774876e-15,-8.552857089956569e-16,4.182288196975089e-15,2.678915691667737e-15,2.4952666174658654e-15,-2.562342150365747e-15,1.0440522717568107e-15,4.737227517991907e-16,3.793584511044558e-15,1.6224647802503222e-15,3.9593240787638264e-15,2.1979204556501756e-15,6.405363306544452e-16,-6.226560982867386e-16,3.3971431860778834e-15,5.739293450069684e-15,-9.10981377084124e-16,1.8953430499546338e-15,3.1374241566260664e-15,3.243718097858944e-15,3.899404583692134e-15,2.810320628324585e-16,-4.1785737497371025e-16,3.753026953051018e-15,-2.7405208111300114e-15,-2.196346620037055e-15,1.7572908252401993e-15,2.56663950703333e-16,-2.5526532556754488e-17,5.094905952072501e-16,6.2774145835497324e-15,2.0230421072130253e-15,-1.376470699940295e-15,-2.6716978040525114e-15,-6.453260628410652e-16,2.645114075945837e-15,-4.691587627875824e-16,-3.1955264043776096e-15,5.551115123125783e-16,-3.164135620181696e-15
7,-4.3554740150690993e-16,-5.615415397422713e-16,-2.0685720255892898e-15,-1.6208034034258517e-15,-1.3562898059943689e-15,-3.810643079284296e-16,-2.861410985614498e-15,0.9999999999999984,-1.454596269528909e-15,-2.2561869968999035e-15,-1.20624250078992e-15,-1.8511508056564376e-15,-1.6289702248804912e-15,-2.0468617779768045e-15,-1.0583989181428936e-15,-1.8736250344692876e-16,-2.046132961658021e-15,-1.64212305797434e-15,-2.298905398354895e-15,-1.0823583108386197e-15,-1.301618436694663e-15,-1.9789404930139568e-15,-1.9894803814793793e-15,6.112399559036249e-17,-2.46236645924203e-15,-3.1022493481390404e-15,-1.659193337754139e-15,-9.094052654915702e-16,-2.305824652230071e-15,-7.912195631780473e-16,-2.5023155147139535e-15,-1.3533502509363122e-15,-1.0076205094948453e-15,-6.982634356550608e-16,1.106171312079818e-16,8.503756846999208e-16,-1.3097830830321366e-15,1.224332710144853e-15,-7.574734141539992e-16,-1.6858970577119505e-15,-1.6540033490347834e-15,6.391698209529983e-16,-2.5327986279104083e-15,-1.1735560823646995e-15,-1.1524945941142925e-15,-6.392878756087661e-16,-2.736724852598708e-15,3.4012307397426707e-16,-7.771561172376096e-16,-1.609823385706477e-15
8,-1.483249589695513e-15,-3.3490411452768865e-15,-4.295997204042306e-15,-3.1239375001690644e-15,-2.958391898850407e-15,-4.442881195073349e-15,-3.2593444041057925e-15,-5.0380027178316775e-15,0.9999999999999959,-4.57137529203752e-15,-1.971877359983332e-15,-2.042503945840611e-15,-5.654465255075891e-15,1.9442141379081532e-16,-3.056461275406151e-15,-3.289983746465294e-15,-4.414907690984473e-15,-4.426799187616752e-15,-3.7872119617090615e-15,-2.145811859681053e-15,-4.2574817259551895e-15,-3.0120436490382185e-15,-3.4540314728647156e-15,-5.059043621253528e-15,-3.1149135116345933e-15,-2.830366761877875e-15,-4.691334249916803e-15,-3.9902229184623435e-15,-1.9359954253536802e-15,-3.2096343096893147e-15,-3.1101297710684852e-15,-5.639259201281486e-15,-3.528836869789949e-15,-4.236329013964449e-15,-3.0073682017855876e-15,-4.205082794924054e-15,-3.532439235774228e-15,-2.4760245039076386e-15,-3.2837632103347474e-15,-3.4919686949520377e-15,-2.9940653764977055e-15,-5.25431565107431e-15,-9.834026826186818e-16,-8.422632341909672e-16,-2.3239983211025138e-15,-5.379577160227236e-15,-3.4825838195293715e-15,-4.749619515882817e-15,-4.440892098500626e-15,-1.2212453270876722e-15
9,-2.2118924901992624e-15,-2.4823614209921883e-15,-4.377996047387427e-15,-1.8482022658080507e-15,-2.0788215382212337e-15,-2.6004280493989277e-15,-2.5883098002757788e-15,-2.767223388790114e-15,-1.6695176507810717e-15,1.0000000000000002,-2.587885143735887e-15,6.49086722871145e-16,-3.685286205335616e-15,-9.673748055495896e-16,-2.1622155204466498e-15,-1.0602581872649523e-15,8.33039176139065e-16,-3.4752451819033643e-15,-1.984957422716981e-15,-1.0108058109700123e-15,-4.7789104370667786e-15,-1.2085243017393085e-15,-2.739150322103018e-16,-6.054874493893066e-15,7.945636282365909e-16,-1.267617645764672e-15,-1.4967912501371119e-15,-2.8066235490848973e-15,5.890375131700246e-16,-1.7247913989574899e-15,-1.080964875239361e-15,-4.407694516318389e-15,-2.4837111083830427e-15,1.4203498682138492e-16,-1.1337661937206814e-15,-2.081535631017853e-15,-2.455461609601754e-15,-3.758544177004192e-15,-6.237335686002558e-16,-2.7421301448467186e-15,-1.0072083526336245e-15,-2.6760210552917167e-15,-1.6976909584359523e-15,-2.090471594297908e-15,-1.1287178337821845e-15,-3.0695781687276293e-15,1.3698064571550924e-15,-1.2248326767451555e-15,-1.3322676295501878e-15,-7.771561172376096e-16
