,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.9999999999996196,-2.873233667047473e-13,-4.513318975248467e-13,-2.860864361460791e-13,-4.286721573254231e-13,-2.8810220500842226e-13,-3.6429971789417287e-13,-1.3402541914152625e-13,-3.2396751275284177e-13,-2.9126034261699047e-13,-4.678393808446797e-13,-3.956358086519041e-13,-3.829172435575886e-13,-3.029529666416644e-13,-4.140660342596743e-13,-2.069399773457048e-13,-2.2737367544323206e-13,-2.984279490192421e-13,-1.7053025658242404e-13,-3.694822225952521e-13
1,3.7705885723231036e-13,1.000000000000346,3.6778056058833855e-13,5.010987474002781e-13,4.186851114506402e-13,3.906684856144721e-13,5.094512264744544e-13,2.0592386486941245e-13,5.075986244796533e-13,4.656576907696789e-13,3.6036803183905643e-13,4.552533098614533e-13,5.241470270230392e-13,2.7790625993370177e-13,4.077279836538556e-13,2.9014394946046854e-13,2.2737367544323206e-13,3.268496584496461e-13,2.5579538487363607e-13,3.694822225952521e-13
2,1.1968412724806038e-13,1.0035670007428251e-13,1.000000000000106,1.1423251698953246e-13,1.458595668045958e-13,5.906044128842594e-14,1.561938816727143e-13,7.40878591890975e-14,1.1399481709898883e-13,1.1897981957767416e-13,1.331969519555966e-13,1.1622592956569985e-13,1.3187384109464474e-13,8.852404146407629e-14,1.8293096219044862e-13,9.854465700720066e-14,5.684341886080802e-14,1.4921397450962104e-13,5.684341886080802e-14,9.947598300641403e-14
3,5.133605810333361e-14,4.28600281670765e-14,-8.537394730180982e-14,0.999999999999989,2.0791655783619276e-14,2.6927054023881816e-14,-1.9937449337390824e-14,1.1847441394749147e-14,4.827647909532644e-14,3.647190223983948e-14,3.582756931650802e-14,-2.1944388499556503e-14,-2.760543073264559e-14,-4.734719704707542e-14,-1.9222934537603363e-14,-4.701538168409745e-15,-1.4210854715202004e-14,1.4210854715202004e-14,-5.684341886080802e-14,2.842170943040401e-14
4,-2.473111557652532e-13,-2.6594709100813606e-13,-2.709289060428862e-13,-2.3697169017895423e-13,0.9999999999995614,-1.8813729239133012e-13,-2.532306032520226e-13,-2.1272124517905295e-13,-2.1479931771683295e-13,-1.7066653652169718e-13,-3.3805698655402497e-13,-1.0387165318395478e-13,-2.747440733474276e-13,-2.4812281656062964e-13,-3.1172770477609386e-13,-1.9286927682720524e-13,-5.684341886080802e-14,-2.5579538487363607e-13,-2.2737367544323206e-13,-2.8421709430404007e-13
5,1.5097882269329186e-13,1.6116971689544867e-13,5.26324829040381e-14,2.2046575951255492e-14,1.3447729811899937e-13,1.0000000000001321,9.623438852496245e-14,1.4020153733827875e-13,6.216662761445589e-14,6.376102651632252e-14,1.543952910637992e-13,6.918065622548896e-14,1.688966034669561e-13,2.360129145903028e-14,7.047798392552717e-14,1.0327336713425656e-13,5.684341886080802e-14,1.4210854715202004e-13,2.842170943040401e-14,1.1368683772161603e-13
6,3.847482561155624e-14,-9.881405502354003e-15,4.5725384035348026e-14,3.9319073579181626e-14,-4.78603018585718e-14,-1.9294283943470077e-14,0.9999999999999343,6.89096508478738e-14,2.0037949885141592e-15,-1.0173952782214549e-13,8.208694906161185e-14,4.5081407094671684e-14,6.462194218161288e-14,-1.4524871246095977e-14,5.716255613662533e-15,1.0742207515795268e-13,1.1368683772161603e-13,7.105427357601002e-14,7.105427357601002e-14,1.4210854715202004e-14
7,-2.5464748591216274e-13,-2.5860850800825947e-13,-1.1935692336210062e-13,-3.3835189716954486e-13,-3.266859434497519e-13,-3.554887326290156e-13,-2.7274289479388877e-13,0.9999999999999508,-3.728892618218769e-13,-1.832794259179921e-13,-4.416500754314621e-13,-2.543173732952674e-13,-2.478158122398921e-13,-1.7009604033971754e-13,-3.408291181997764e-13,-1.1452272418258602e-13,-1.1368683772161603e-13,-3.979039320256561e-13,0.0,-3.410605131648481e-13
8,-1.5161723999401267e-13,-9.494588159651105e-14,-3.7721438817854505e-14,-3.5229994475069247e-14,-6.529568416463923e-14,-1.4129729919658664e-13,-1.5130604184586393e-13,-6.120617070546381e-14,0.9999999999999248,-6.042445868565013e-14,-2.0000531923376825e-13,-7.505465726974992e-14,-8.514632694735693e-14,-2.932628133401704e-14,-4.25710378583101e-14,-5.3901572049216934e-14,-2.842170943040401e-14,-1.7053025658242404e-13,-1.4210854715202004e-14,-1.2789769243681803e-13
9,9.715299369135543e-14,9.223125911166335e-14,8.462255354332365e-14,1.1607242448048248e-13,1.164008573114441e-13,1.1113424629215986e-13,1.2301330181567943e-13,4.670241828935343e-14,8.212209448725547e-14,1.0000000000000486,1.1183545769200743e-13,1.158639488828025e-13,7.902435195809477e-14,2.6390574994814643e-14,6.788286258941699e-14,7.949135246459192e-14,3.419486915845482e-14,1.0857981180834031e-13,9.015010959956271e-14,9.392486788328824e-14
10,-6.105583483767226e-14,-3.146863198481321e-14,-4.4113947411557554e-14,-9.069641664416287e-14,-8.800139274189486e-14,-3.3424141352028084e-14,-4.2275489689883085e-14,-2.615806176434545e-14,-5.836990049294662e-14,-2.6148276086263823e-14,0.9999999999999815,-8.73183117807225e-14,-8.079717564873758e-14,-1.7633997092024294e-14,-4.5850128491048695e-14,-5.5602353322321785e-14,-3.552713678800501e-14,3.552713678800501e-15,-4.263256414560601e-14,-3.552713678800501e-14
11,4.3397765845287e-14,-2.3352118620707293e-14,4.458469968970688e-15,1.8281630513906124e-14,2.7527443478036857e-15,2.562976212908429e-14,-1.6370521384028815e-14,-3.628194258713732e-14,8.384908150626009e-14,5.1653758357479266e-14,2.6875583525509292e-14,0.9999999999999871,1.718238577082657e-14,-4.2053720514451203e-14,6.558626089593144e-14,-1.6421768473666682e-14,-2.842170943040401e-14,4.263256414560601e-14,-1.1368683772161603e-13,2.842170943040401e-14
12,-9.816201519930657e-14,-8.856892932543025e-14,-8.951802579367043e-14,-8.937544742902362e-14,-1.0295602844733436e-13,-6.924873714484083e-14,-8.29693395713709e-14,-4.409857585256664e-14,-7.550550816040053e-14,-3.1858481373612986e-14,-9.501452448220342e-14,-1.1530806432619877e-13,0.9999999999999334,-3.1806149573609363e-14,-6.666239361803793e-14,-8.453464570377493e-14,-4.263256414560601e-14,-7.460698725481052e-14,-4.263256414560601e-14,-8.526512829121202e-14
13,9.551432039173969e-14,1.346612177257021e-13,6.97132148408035e-14,6.314346679409802e-14,3.770012867163078e-15,1.295839798105823e-13,7.271556632472107e-14,6.721988526179479e-14,6.528516453390248e-14,4.774375582232496e-14,1.5222937517707278e-13,4.5300809332619597e-14,-5.07912155710588e-15,1.0000000000000362,-3.111877446518742e-14,6.939424814672395e-14,5.684341886080802e-14,1.9895196601282805e-13,0.0,1.4210854715202004e-13
14,4.97662058997857e-15,4.716841288010972e-15,1.0278181478537385e-14,1.216418529562369e-14,1.0288863437318285e-14,-1.5222687676331471e-15,6.4130233591132356e-15,5.466817665816947e-15,9.779873095306413e-15,4.6436795471066505e-15,-1.1200549554116719e-14,1.104280808239108e-14,1.226884850552971e-14,1.3295844011241848e-14,1.0000000000000062,4.612708075998014e-15,0.0,-7.993605777301127e-15,7.105427357601002e-15,9.325873406851315e-15
15,1.6273986764948915e-13,2.8949379119088714e-13,1.0026819734736839e-13,1.7031986173543384e-13,2.49520290847801e-13,2.3684808473276743e-13,2.4613530410299634e-13,8.665095071991788e-14,1.5118778919839937e-13,1.4935979556638e-13,3.766101266123681e-13,1.252803509643278e-13,1.7598157961718309e-13,-2.42695081018436e-14,7.908874305178126e-14,1.0000000000001346,1.1368683772161603e-13,2.5579538487363607e-13,5.684341886080802e-14,2.2737367544323206e-13
16,1.0677696248420852e-13,7.283656508974439e-14,7.967184822810081e-14,5.2418450873819445e-14,9.783447829939643e-14,6.247851923176896e-14,4.71610007570018e-14,2.339981143799844e-14,1.1812565779315036e-13,3.527350628582253e-14,6.940468470884205e-14,6.783464787392017e-14,9.298635122773253e-14,2.3308562595320853e-14,4.6729452254875926e-14,5.397974320104691e-14,1.0000000000000853,7.815970093361102e-14,-1.4210854715202004e-14,1.1368683772161603e-13
17,-5.6780586593139675e-14,-9.300216556950609e-14,-2.0536863423307246e-14,5.64748379412045e-14,-7.340167252527347e-14,-3.323363277328942e-14,-3.742331229937147e-15,-7.362956103333467e-14,-3.7496523699734964e-14,7.34816318780369e-15,-6.250781103909174e-14,1.95053038714384e-14,-1.0549655910158399e-13,-1.3989296748097205e-15,-8.161574944763104e-14,-9.920841570017237e-15,0.0,0.9999999999999147,0.0,-1.4210854715202004e-14
18,1.2789769243681803e-13,1.1368683772161603e-13,8.526512829121202e-14,1.1368683772161603e-13,1.2789769243681803e-13,1.2789769243681803e-13,1.1368683772161603e-13,0.0,1.8474111129762605e-13,9.947598300641403e-14,1.7053025658242404e-13,1.7053025658242404e-13,1.1013412404281553e-13,1.1368683772161603e-13,9.947598300641403e-14,1.0658141036401503e-13,1.1368683772161603e-13,1.2789769243681803e-13,0.9999999999999147,1.4210854715202004e-13
19,-9.947598300641403e-14,-5.684341886080802e-14,-4.263256414560601e-14,-4.263256414560601e-14,-2.842170943040401e-14,-9.947598300641403e-14,-7.105427357601002e-14,-5.684341886080802e-14,-1.4921397450962104e-13,-7.815970093361102e-14,-5.684341886080802e-14,-4.973799150320701e-14,-9.237055564881302e-14,-8.526512829121202e-14,-6.394884621840902e-14,-7.460698725481052e-14,-8.526512829121202e-14,-9.947598300641403e-14,2.842170943040401e-14,0.9999999999999432
